,v1,v2,v3,v4,v5,y
592,-0.373034,1.054305,0.994506,-1.239298,-0.136583,0
1715,-0.271399,1.246419,1.436937,-1.238041,-0.680045,0
201,-0.387248,-0.1668,-0.248872,-1.237488,1.885495,1
4555,1.051942,-0.871434,1.663999,-1.23635,-0.515592,0
3336,-0.341984,-0.334283,1.139184,-1.236241,0.49275,0
3030,-0.658482,-0.454253,1.72704,-1.23515,-0.704899,1
4508,0.891496,0.000498,1.354003,-1.234416,-0.602752,1
4567,-0.546084,-0.085148,1.484115,-1.23363,-0.609038,0
5199,-0.511846,-0.408298,1.90567,-1.23319,0.762737,0
1771,-1.563204,-2.361983,-1.746185,-1.232939,2.128311,1
1829,-0.749308,-0.924316,1.257313,-1.232612,-0.136583,1
1624,-0.687525,-0.094713,1.296527,-1.230449,-0.136583,0
3242,-1.048579,-1.7885,-1.453723,-1.2304,1.852991,1
2230,-0.253056,-0.213565,0.683364,-1.229466,2.440878,1
3297,0.961763,-0.808892,1.630523,-1.229377,-0.520054,0
3227,0.961926,-0.808486,1.631528,-1.229262,-0.520519,0
2516,-0.5686,0.46015,1.500302,-1.229141,-0.619489,0
3110,-0.404761,0.023493,1.41672,-1.227328,-0.793115,0
2848,-0.717338,-0.056408,1.172196,-1.225999,-0.542082,0
3138,-0.574258,0.454733,1.529035,-1.225839,-0.630309,0
3549,-0.579437,0.310042,1.373562,-1.225589,-0.828196,0
2135,-1.17574,-2.493172,-1.82825,-1.224791,-0.652419,0
2788,0.282574,0.403467,0.976709,-1.223495,-0.489407,1
4798,-0.67031,-0.167399,1.089132,-1.222718,-0.136583,0
5139,-0.539401,-0.207279,1.610392,-1.222383,-1.255475,1
3546,-0.64589,-0.796686,0.081535,-1.222262,3.281067,0
281,-0.52404,0.063819,0.692052,-1.221839,-0.681202,1
671,-0.876945,-1.145098,-0.444762,-1.221828,3.574489,0
2586,-0.609933,0.02139,1.63759,-1.221638,-0.136583,0
5344,-0.444728,0.200614,1.850356,-1.219917,0.536946,1
4505,-0.351143,-0.062835,1.549588,-1.219647,-0.541349,0
4198,-0.409093,0.43672,1.202095,-1.217797,-0.136583,0
3034,-0.122243,0.048685,1.101785,-1.217271,-0.493913,0
3898,-0.121967,0.048955,1.101785,-1.216973,-0.493913,0
1037,-0.508272,1.404845,0.160571,-1.216536,-0.136583,0
3983,-0.643363,-0.782447,0.075869,-1.214936,3.260671,0
4746,-0.53478,1.528903,-1.551961,-1.214274,2.241094,0
3219,-0.335737,0.892612,1.678663,-1.213174,-0.641276,0
4158,-0.573723,0.469538,1.573058,-1.211852,-0.136583,0
3988,-0.34627,-0.110082,1.437337,-1.209679,-0.553333,0
3416,-0.73614,-0.152876,0.817053,-1.209554,-0.500756,0
5350,-0.353682,0.994156,0.893688,-1.208842,-0.136583,0
4507,0.522731,-0.181805,1.593794,-1.208788,-0.498632,0
4518,-0.469433,-0.254303,1.680305,-1.208502,0.4493,0
1687,-0.708107,-0.225914,1.054834,-1.208488,-0.136583,0
721,-0.788481,-0.243869,1.292043,-1.208478,-0.136583,0
5196,0.661203,-0.525478,1.834147,-1.208116,-0.559566,1
2405,-0.293666,-2.453179,0.407331,-1.208062,-0.136583,0
846,-0.843719,-0.3908,0.901014,-1.20735,-0.666365,0
1333,-0.237595,-0.322266,1.118286,-1.206864,0.560324,1
1476,-0.601251,0.087566,1.220887,-1.206219,-0.136583,1
4113,-0.831857,-0.64812,0.748026,-1.205991,-0.136583,1
2699,-0.580199,0.433736,1.486925,-1.204895,-0.615144,0
3057,-0.707097,-0.034106,1.22173,-1.204469,-0.136583,0
4839,-0.688197,-0.486743,1.223156,-1.204273,-0.648069,0
2096,0.078529,0.347572,1.670904,-1.203851,-0.532336,1
386,-0.665968,-0.104548,1.389424,-1.203707,0.858844,0
347,-0.742438,-0.14941,1.376155,-1.203511,-0.136583,0
2379,-0.296639,-0.999795,1.227781,-1.203117,0.613486,1
3690,-0.691326,-0.345929,0.22345,-1.202488,1.40483,1
3653,-0.798261,-0.906595,0.233015,-1.201625,0.980102,1
3392,-0.709007,-0.074879,1.228807,-1.200352,-0.136583,0
1445,-0.674095,-0.276604,0.628233,-1.199776,-1.063432,0
4499,-0.488272,-0.368529,1.552873,-1.199643,-0.668857,0
645,-0.240259,-0.229463,1.201523,-1.198019,-0.662003,1
5243,-0.020629,-0.783026,1.385459,-1.197633,0.500165,1
145,-0.476777,-0.293207,1.360551,-1.197573,-0.608079,0
3401,-0.686948,-0.165801,1.149547,-1.197528,-0.136583,0
4111,-0.771953,-0.264079,1.276591,-1.197072,-0.136583,0
3413,-0.461587,-0.009008,1.162201,-1.196523,-1.047031,1
805,-0.493033,-0.684638,2.462514,-1.19636,0.756731,1
3701,-0.671116,-0.029065,0.725647,-1.196015,-0.613476,0
3608,-0.681392,-0.177105,1.209832,-1.193425,-0.136583,0
3026,-0.699203,-0.40703,0.190209,-1.192703,1.396757,1
5167,-0.593607,0.241539,1.219687,-1.192629,-0.136583,0
2289,-0.685502,-0.05226,1.244497,-1.191524,-1.066684,0
3912,-0.472508,0.397369,1.959321,-1.19059,-0.664376,0
3857,0.251889,0.328337,0.341913,-1.190326,-0.487456,1
770,-0.712686,-0.137859,1.265061,-1.18889,-0.533839,0
5323,-0.6553,-0.030146,1.378165,-1.187749,-0.643225,1
99,-0.463885,-0.239756,1.664345,-1.187615,0.461837,0
3045,-0.432689,0.460784,1.56169,-1.186899,-0.63805,0
674,0.656556,-0.550813,1.937774,-1.186784,-0.582251,1
3709,-0.236632,-0.593968,1.545449,-1.186765,-0.537299,1
4843,0.920469,1.064939,-1.358038,-1.186723,-0.136583,0
5031,-0.717154,-0.063693,1.344418,-1.186485,-0.136583,0
1299,-0.236732,-0.594257,1.544963,-1.186315,-0.536999,1
2763,-0.496213,0.778977,1.146835,-1.186049,-0.624576,0
2534,-0.40623,0.393186,1.053743,-1.185447,-0.530436,0
2956,-0.903355,-1.155243,-0.369144,-1.185098,-0.136583,0
1309,-1.099968,-0.068933,0.80333,-1.184898,-0.136583,0
656,0.044289,0.08437,1.433815,-1.184298,-0.594276,1
745,-0.422521,0.298892,1.557627,-1.184243,-0.136583,0
69,-0.761969,-0.26818,1.277293,-1.183757,-0.532343,0
5086,-0.876416,-1.149733,-0.375256,-1.18332,-0.136583,0
2201,-0.447161,0.997693,1.365987,-1.183189,-0.592148,0
4681,-1.124808,0.158184,0.87306,-1.182292,-0.136583,0
2186,-0.704111,0.204115,1.08683,-1.1813,-0.136583,0
1696,-0.493944,-0.722063,2.420436,-1.181153,0.76744,1
1702,-0.420838,-0.151959,-0.314899,-1.180491,2.070322,1
1928,-0.706777,-0.248827,1.296117,-1.179596,-0.136583,0
3468,-0.018841,-1.014112,1.372124,-1.178975,0.732606,1
2072,-0.661237,0.180733,1.360789,-1.17873,-1.014199,0
5130,-0.585763,-0.295087,1.165799,-1.17867,-0.666669,0
1845,-0.22387,-0.456035,1.326135,-1.178382,-0.803119,1
238,-0.523255,-0.13605,1.54587,-1.178357,-1.139839,1
573,-0.569922,0.331287,1.318711,-1.177513,-0.136583,0
3299,-0.863295,-1.08249,-0.323515,-1.175908,-1.918989,0
1277,-1.086202,-1.720845,-1.236331,-1.174965,-0.136583,0
4239,-0.165096,-0.95853,0.885227,-1.173864,0.632486,1
1144,-0.630986,0.086626,1.58086,-1.173697,0.820652,0
5054,-0.479948,-0.255372,1.290941,-1.172431,-0.583219,0
1635,-0.503756,0.373234,1.176291,-1.172415,-0.596022,0
5260,-0.773784,-0.868509,-0.303205,-1.17161,-0.136583,0
5208,-0.881366,-1.113931,-0.374906,-1.170411,-0.136583,0
5169,-0.474025,-0.186234,1.311785,-1.169833,-0.55451,0
3114,-0.555681,1.488694,-0.029846,-1.169398,-0.136583,0
703,0.008719,0.023305,1.309472,-1.169153,0.466905,1
3328,-0.012536,0.716431,1.354986,-1.168905,-0.136583,0
1927,-0.655099,1.001277,0.441369,-1.168501,-0.559776,0
4848,-0.439283,-0.332308,1.456961,-1.168049,-0.80919,0
4020,-0.291515,-0.411501,1.355732,-1.16754,-0.529065,1
2949,-0.291515,-0.411662,1.355732,-1.167369,-0.528827,1
1878,-0.629165,-0.431234,1.84733,-1.166758,-0.66984,0
377,-0.629208,-0.431371,1.846984,-1.166508,-0.66932,0
834,-1.120972,-0.052131,0.981171,-1.16571,-0.509113,0
4808,-1.449351,-2.349322,0.30433,-1.165552,-0.691721,1
1883,-0.684126,-0.010065,1.265536,-1.165376,-1.000094,0
1472,-1.449248,-2.348895,0.304092,-1.165151,-0.691604,1
149,-0.66798,-0.830487,-0.19867,-1.163424,-0.136583,0
1334,0.038216,0.465684,1.6569,-1.163126,-0.51627,1
4306,-0.643542,-0.510242,1.858244,-1.161969,-0.691538,0
613,-0.643542,-0.510242,1.858244,-1.161815,-0.691116,0
1348,-0.436217,0.349652,1.559659,-1.160449,-0.752611,1
4477,-0.626703,-0.460108,1.252018,-1.159793,-0.136583,0
3936,-0.395479,1.12826,1.417336,-1.158163,-0.565818,0
1111,-0.670851,0.007489,1.647456,-1.157877,-0.136583,0
4586,-0.652421,0.152544,0.681689,-1.157448,-0.136583,0
1485,-0.721021,0.127575,0.894412,-1.157444,-0.477658,0
3903,-0.729027,-0.131444,0.997747,-1.157316,-0.46332,0
4454,-0.699393,0.2402,0.828194,-1.157139,-0.136583,0
4694,-0.636171,0.0555,1.681818,-1.156761,0.764497,0
3293,0.559855,0.142474,1.130064,-1.155793,-0.465747,1
4259,-0.8844,-1.141479,-0.35172,-1.155335,-0.136583,0
4779,-0.490619,0.599941,0.78791,-1.155017,-0.626951,0
1019,0.443987,0.22328,1.125655,-1.153455,-0.467995,1
3580,-0.295283,0.817035,0.268185,-1.153249,3.130377,0
4393,0.062872,0.511298,0.838125,-1.153184,-0.496887,1
3184,-0.585373,-0.750885,0.508927,-1.15053,-0.136583,1
4450,-0.639784,-0.146554,1.295868,-1.150412,-0.545663,0
2393,-1.246343,-0.145802,0.379506,-1.149822,-0.612095,0
61,-0.41349,0.626813,1.524918,-1.149799,-0.705259,0
2152,-0.740921,-0.14478,1.022169,-1.149285,-0.136583,0
5117,-0.661723,-0.21004,1.419843,-1.149071,-0.591085,0
2346,-0.295586,-0.107897,0.850746,-1.148859,2.439037,1
5024,-0.824191,-1.088501,-0.336933,-1.146073,-1.688736,0
327,-0.695242,0.308198,0.600711,-1.145821,-0.136583,0
1397,-0.7451,-0.192779,1.155447,-1.145683,-0.136583,0
1315,-0.308692,1.569194,0.123245,-1.145227,1.956514,0
5291,-0.301496,1.093726,0.636727,-1.143397,-0.525323,0
4855,-0.645935,-0.112538,1.154582,-1.142917,-0.541412,0
5269,0.634873,-0.529634,0.638315,-1.142202,-0.79663,1
2822,-0.304787,0.917863,0.194806,-1.141966,2.908061,0
5216,-0.606022,-0.431616,1.195072,-1.141108,-0.136583,0
2334,-0.795843,-0.940717,-0.34089,-1.141058,1.869304,1
2925,-1.137285,1.094232,0.258892,-1.140521,-0.136583,0
2355,-0.203826,-0.200663,1.17319,-1.140365,0.620656,0
3510,-0.326892,-0.181993,0.881985,-1.139347,-0.601416,1
1692,-0.327218,-0.182498,0.881661,-1.139343,-0.60129,1
2060,0.570546,-0.138,0.927467,-1.138178,-0.503437,0
3000,-0.426596,-0.303089,1.601855,-1.137807,-0.501882,0
2169,-0.195232,-0.154074,1.208579,-1.135328,0.587066,0
2075,0.098839,-0.145144,0.898432,-1.134832,1.355959,1
1366,0.474415,0.021049,1.751299,-1.134488,-0.470054,0
1160,-0.69595,0.073501,1.038885,-1.13244,-0.535164,0
3093,-0.547027,0.560954,0.669144,-1.130692,0.392342,0
3488,0.800315,-0.52096,1.936931,-1.130547,-0.60134,1
815,-0.524252,0.544856,0.682565,-1.130276,-0.626785,0
1184,-0.418434,-0.056161,-0.298953,-1.12947,-0.136583,1
3979,-0.715179,-0.112362,0.948949,-1.12748,-0.484652,0
2686,-0.767811,-0.814412,0.406499,-1.126824,-1.064902,1
5124,-0.73939,-0.015083,1.065845,-1.126478,-0.50212,0
4923,-0.313201,1.34002,0.864091,-1.126417,-0.136583,0
387,-0.800229,-0.943745,-0.34875,-1.125293,1.736473,1
1011,-0.551584,1.526729,-1.558227,-1.124843,2.227092,0
4990,0.264384,-0.149703,1.804842,-1.124412,-0.51503,1
3333,-0.304271,-0.997824,1.272819,-1.124406,0.627528,1
555,-0.787265,-1.263343,0.112819,-1.123893,-1.556373,1
2838,-0.652509,-0.004461,1.339491,-1.123625,-0.597197,1
218,-0.2938,-0.464562,1.312541,-1.12341,0.58675,1
2705,-0.356332,1.149657,1.36536,-1.122894,-0.56919,0
3004,-0.29731,-0.10718,1.067207,-1.12134,-0.534925,1
3025,-0.297562,-0.107368,1.066948,-1.12108,-0.534869,1
2642,-0.663103,-0.284888,1.344321,-1.119831,-0.591382,0
2665,-0.796499,-0.91178,-0.333842,-1.119531,1.787549,1
3554,-1.14651,-2.395539,-2.025827,-1.119516,-0.136583,0
2026,-0.723483,0.114603,0.731969,-1.117186,-0.451429,0
5033,-0.021729,0.79095,1.311623,-1.117176,0.415946,0
3107,-0.019587,0.729579,1.345564,-1.116255,-0.136583,0
2661,-0.607307,-0.04313,0.91557,-1.11579,-0.589822,0
2580,-0.269544,1.43657,1.045801,-1.11523,-0.509865,0
271,-0.301688,0.097107,1.246842,-1.114302,-0.495249,0
3194,-0.687007,1.311408,0.388939,-1.113334,-0.523664,0
3397,-0.601064,0.366325,0.561951,-1.113238,-0.136583,0
3639,0.472214,0.018405,1.671271,-1.112813,-0.463477,0
3975,-0.676269,0.41866,0.491475,-1.112137,-0.136583,0
3161,-0.257727,1.010136,0.259853,-1.111742,2.564067,0
2273,-0.29231,1.453032,0.801115,-1.11011,-0.136583,0
3245,0.19433,1.119224,1.248052,-1.109791,-0.136583,0
3902,-0.642336,-0.160043,1.067834,-1.109541,-0.570432,0
615,-0.298261,1.389006,0.824185,-1.108954,-0.136583,0
3764,0.325149,0.005974,1.764158,-1.108892,-0.518721,1
4734,-0.392377,1.01889,1.273241,-1.108556,-0.563734,0
993,-0.337376,1.43093,0.119626,-1.107762,2.438828,0
5317,-0.757811,-0.176658,1.016982,-1.107165,-0.486269,0
2422,-0.32048,-0.659467,1.419454,-1.10664,1.053407,1
198,-0.68389,0.0459,0.775354,-1.10606,-0.586297,0
4414,-0.140071,1.130152,1.041197,-1.105878,-0.502134,0
3404,-0.452577,1.506671,0.344128,-1.105366,-0.136583,0
4110,-0.478808,-0.364271,1.237646,-1.104247,-0.561314,0
5005,-0.387644,0.382552,1.009623,-1.103293,-0.540772,0
2145,1.05108,-0.871187,1.662919,-1.103231,-0.467884,0
2004,-0.426527,0.212904,1.40438,-1.101169,0.515383,0
2841,-0.633856,-0.147612,0.659678,-1.101081,-0.136583,0
1691,-0.583646,-0.346886,0.090151,-1.10007,-0.136583,1
3049,-0.746081,-0.125475,1.168554,-1.099714,-0.48492,0
2664,-0.732925,-0.251107,0.887031,-1.09868,-0.136583,0
242,0.544915,0.916793,-1.285285,-1.097911,1.985561,0
4618,-0.533164,1.711992,0.162444,-1.096798,-0.466958,0
2771,-0.336375,0.753878,1.463314,-1.096028,-0.654399,0
1223,-0.684355,0.050471,0.636229,-1.095135,-0.551764,0
2558,-0.118127,-0.088826,1.108247,-1.094875,-0.821763,1
2957,0.277276,0.794158,0.605768,-1.094702,-0.455252,1
3032,-0.118223,-0.089578,1.107513,-1.094408,-0.821832,1
2233,-0.258194,0.428977,0.793983,-1.094237,-0.479574,0
3079,-0.747047,-0.020476,0.60821,-1.093145,-0.499759,0
4760,-0.75511,-0.160173,0.880969,-1.090817,-0.491231,0
176,-1.042792,-1.683042,-0.360132,-1.090096,-0.136583,0
1089,0.442135,-0.041967,1.641566,-1.089723,-0.456237,0
2446,-0.889194,-1.174634,-0.480769,-1.089607,-0.136583,0
882,-0.640853,0.308997,0.409568,-1.089428,0.450351,0
3868,0.756984,0.070129,0.989427,-1.089396,-0.426452,1
3112,-0.839665,-1.031758,-0.524355,-1.089312,-0.136583,0
5081,-0.843678,-1.03026,-0.537091,-1.089098,1.651087,0
5044,-0.733322,0.065335,0.423042,-1.08903,-0.136583,0
3578,0.414536,-0.059451,1.674481,-1.088854,-0.630005,1
1596,-0.451212,1.607793,1.228451,-1.088791,-0.474056,1
4472,0.498067,-0.02997,1.561053,-1.087953,-0.454999,0
1834,-0.246259,1.488576,0.921945,-1.087345,-0.493408,0
4382,-0.628467,0.296377,0.456962,-1.085547,0.431109,0
491,-0.51098,1.489176,0.297749,-1.085332,-0.136583,0
1999,-0.593059,-2.433803,0.608026,-1.083771,0.754461,1
270,0.381127,0.19629,0.972656,-1.083694,1.332497,1
1368,-0.538817,-0.483936,-2.795869,-1.082716,-0.647474,0
3677,-0.193949,-0.096381,1.029797,-1.082307,1.046365,1
2540,-0.323444,-0.477511,1.395595,-1.081564,0.520049,1
4870,0.441728,1.174461,-0.099101,-1.081045,1.229704,0
1572,-0.528466,0.408708,0.63624,-1.080915,-0.136583,0
3136,-0.728916,0.979421,0.308166,-1.080273,-0.136583,0
2613,-0.845862,-1.015262,-0.543261,-1.079918,1.621363,0
569,-0.46276,0.724574,0.871244,-1.079751,0.335708,0
923,-0.690866,0.015162,0.928083,-1.079387,-0.136583,0
3465,0.225991,0.655612,1.310186,-1.078824,-0.439678,1
2402,0.112913,1.571438,-1.273915,-1.077493,1.564004,0
4645,-0.663235,0.1926,0.813487,-1.076866,-0.541399,0
1575,-0.768357,-0.159844,0.661331,-1.076739,-0.445779,0
2089,-0.604328,0.160699,0.968421,-1.076502,-0.509057,0
5377,-0.524636,0.283687,1.308997,-1.076458,-0.625653,0
3175,-0.091454,1.343051,1.033601,-1.076008,-0.431949,1
